candidate_id,repository_name,repository_url,discovery_query,discovery_date,public_repository,contains_terraform,terraform_file_count,relevant_commit_count,default_branch,repository_license,is_fork,is_archived,is_tutorial_or_example,sensitive_data_observed,eligible_for_pilot,exclusion_reason,review_status,reviewer,notes
CAND-001,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-002,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-003,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-004,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-005,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-006,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-007,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-008,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-009,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-010,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-011,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-012,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-013,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-014,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-015,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-016,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-017,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-018,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-019,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
CAND-020,,,,,unknown,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,pending,Alpha Yerroh Barrie,
